교과목,학점,년도,교과목명
GS2721,3,2015,기초경제학
GS2722,3,2015,한국경제의 이해
GS2723,3,2015,사회주의 경제의 시장경제전환론
GS2724,3,2015,거시경제학
GS2725,3,2015,사회복지와 재정
GS2726,3,2015,글로벌 경제의 이해
GS2727,3,2015,동아시아 경제론
GS2728,3,2015,세계화 시대의 경제정책
GS2729,3,2015,경제학사
GS2730,3,2015,해외경제론
GS2761,3,2015,인권법: 현대사회의 인권 문제들
GS2762,3,2015,법과 정의: 이념과 현실
GS2763,3,2015,현대법학의 이해
GS2803,3,2015,과학기술과 사회
GS2804,2,2015,에너지와 인간
GS2806,2,2015,우주와 생명
GS2807,3,2015,현대과학 고전 논문 강독
GS2808,2,2015,음식과 약
GS2809,3,2015,아름다운 지구
GS2810,2,2015,우주와 인간의 역사
GS2811,3,2015,인간과 바다
GS2812,3,2015,생명윤리와 법
GS2813,3,2015,과학기술과 젠더
GS3861,3,2015,신경과학과 법
GS2911,2,2015,중국어 1
GS2912,2,2015,중국어 2
GS2913,2,2015,한자와 한문의 기초
GS2913,2,2015,중국의 문화와 언어(한시와 한문 입문)
GS2931,2,2015,독일어 1
GS2932,2,2015,독일어 2
GS3901,2,2015,일본문화론
GS9201,1,2015,기초교육학부 개별연구
GS9201,1,2015,기초교육학부 개별연구Ⅰ
GS9202,1,2015,기초교육학부 개별연구 Ⅱ
GS9203,1,2015,기초교육학부 개별연구 Ⅲ
GS9204,1,2015,기초교육학부 개별연구 Ⅳ
GS2541,3,2016,서양음악의 이해
GS2542,3,2016,오페라와 판소리
GS2543,3,2016,현대 예술의 이해
GS2543,3,2016,현대 예술의 이해: 모더니즘에서 포스트모더니즘까지
GS2601,3,2016,동아시아의 전통과 현대
GS2791,3,2016,유라시아 깊이 읽기
GS2792,3,2016,커뮤니케이션론 I
GS2804,2,2016,에너지와 인간
GS2808,2,2016,음식과 약
GS2810,2,2016,우주와 인간의 역사
GS2815,3,2016,문화공학 I
GS2817,3,2016,문화와 도시재생 연구
GS2911,2,2016,중국어 1
GS2912,2,2016,중국어 2
GS2913,2,2016,한자와 한문의 기초
GS2913,2,2016,중국의 문화와 언어(한시와 한문 입문)
GS2931,2,2016,독일어 1
GS2932,2,2016,독일어 2
GS3901,2,2016,일본문화론
GS9201,1,2016,기초교육학부 개별연구
GS9201,1,2016,기초교육학부 개별연구Ⅰ
GS9202,1,2016,기초교육학부 개별연구 Ⅱ
GS9203,1,2016,기초교육학부 개별연구 Ⅲ
GS9204,1,2016,기초교육학부 개별연구 Ⅳ
GS2541,3,2017,서양음악의 이해
GS2542,3,2017,오페라와 판소리
GS2543,3,2017,현대 예술의 이해
GS2543,3,2017,현대 예술의 이해: 모더니즘에서 포스트모더니즘까지
GS2601,3,2017,동아시아의 전통과 현대
GS2602,3,2017,한국사의 이해
GS2603,3,2017,동아시아의 근대화
GS2791,3,2017,유라시아 깊이 읽기
GS2792,3,2017,커뮤니케이션론 I
GS2793,3,2017,커뮤니케이션론 II
GS2804,2,2017,에너지와 인간
