NO,년도,학기,개설부서,교과목-분반,교과목명,"이수
구분","세부
분류","교과
연구",담당교수,"과정
구분",강/실/학,강의언어,시간표,강의실,"수강
정원","수강
인원",선수과목,"강의공유
대표교과목","강의
공유
대표","재수강
예외여부","폐강
여부","SYLL
ABUS","설명
영상","출석부
유무",Upload,"강의
방법",선택MOOC
32,2010,1학기,기초교육학부,GS2601-01,동아시아의 전통과 현대,선택,,교과,김용덕[60917],학사,3/0/3,,일 :~:,,0,14,None,,,N,N,view,,미등록,"Attendance
List",,
33,2010,1학기,기초교육학부,GS2621-01,"애지와 문도 : 소크라테스, 공자, 붓다, 예수",선택,,교과,이용주[60940],학사,3/0/3,,일 :~:,,0,9,독서의 의지,,,N,N,view,,미등록,"Attendance
List",,
34,2010,1학기,기초교육학부,GS2622-01,문명과 세계관 : 다문명세계의 사상적 전개,선택,,교과,이용주[60940],학사,3/0/3,,일 :~:,,0,11,,,,N,N,view,,미등록,"Attendance
List",,
35,2010,1학기,기초교육학부,GS2701-01,한국사회의 이해,선택,,교과,장진호[60880],학사,3/0/3,,일 :~:,,0,17,,,,N,N,view,,미등록,"Attendance
List",,
36,2010,1학기,기초교육학부,GS2703-01,"세계화와 발전 : 세계의 정치, 경제, 문화 지형",선택,,교과,장진호[60880],학사,3/0/3,,일 :~:,,0,20,NA,,,N,N,view,,미등록,"Attendance
List",,
37,2010,1학기,기초교육학부,GS2801-01,연구윤리,선택,,교과,노환진[60801],학사,1/0/1,,일 :~:,,0,15,None,,,N,N,view,,미등록,"Attendance
List",,
38,2010,1학기,기초교육학부,GS2901-01,일본의 문화와 언어,선택,,교과,김용덕[60917],학사,3/0/3,,일 :~:,,0,19,None,,,N,N,view,,미등록,"Attendance
List",,
39,2010,1학기,기초교육학부,GS2911-01,중국의 문화와 언어,선택,,교과,이용주[60940],학사,3/0/3,,일 :~:,,0,10, 없음.,,,N,N,view,,미등록,"Attendance
List",,
40,2010,1학기,기초교육학부,GS9301-01,신입생 세미나,연구,,세미나,"김용덕[60917]
김철[60930]
박진주[60957]
서지원[60955]
심우장[60929]
유운종[60956]
이시연[60939]
이용주[60940]
장진호[60880]
황치옥[60934]",학사,1/0/1,,일 :~:,,0,10,,,,N,N,view,,미등록,"Attendance
List",,
41,2010,1학기,기초교육학부,GS9301-02,신입생 세미나,연구,,세미나,,학사,1/0/1,,,,0,10,,,,N,N,view,,미등록,"Attendance
List",,
42,2010,1학기,기초교육학부,GS9301-03,신입생 세미나,연구,,세미나,,학사,1/0/1,,,,0,10,,,,N,N,view,,미등록,"Attendance
List",,
43,2010,1학기,기초교육학부,GS9301-04,신입생 세미나,연구,,세미나,,학사,1/0/1,,,,0,10,,,,N,N,view,,미등록,"Attendance
List",,
44,2010,1학기,기초교육학부,GS9301-05,신입생 세미나,연구,,세미나,,학사,1/0/1,,,,0,10,,,,N,N,view,,미등록,"Attendance
List",,
45,2010,1학기,기초교육학부,GS9301-06,신입생 세미나,연구,,세미나,,학사,1/0/1,,,,0,9,,,,N,N,view,,미등록,"Attendance
List",,
46,2010,1학기,기초교육학부,GS9301-07,신입생 세미나,연구,,세미나,,학사,1/0/1,,,,0,10,,,,N,N,view,,미등록,"Attendance
List",,
47,2010,1학기,기초교육학부,GS9301-08,신입생 세미나,연구,,세미나,,학사,1/0/1,,,,0,9,,,,N,N,view,,미등록,"Attendance
List",,
48,2010,1학기,기초교육학부,GS9301-09,신입생 세미나,연구,,세미나,,학사,1/0/1,,,,0,10,,,,N,N,view,,미등록,"Attendance
List",,
49,2010,1학기,기초교육학부,GS9301-10,신입생 세미나,연구,,세미나,,학사,1/0/1,,,,0,10,,,,N,N,view,,미등록,"Attendance
List",,
50,2010,여름학기,기초교육학부,GS0700-01,학점 교류 인정과목 I,선택,,교과,,학사,0/0/0,,,,0,0,,,,N,N,view,,미등록,"Attendance
List",,
